codigo,nome,modelo,fabricante,cor,tam
11,Tenis Runner,RunFast,Nike,preto,40
12,Sapato Social,Executive,Ferracini,preto,42
13,Sapatenis Urbano,CityWalk,Democrata,bege,41
14,Scarpin Classico,Elegance,Vizzano,vermelho,38
15,Sandalia Feminina,SummerLight,Grendene,branco,37
16,Papete Confort,EasyStep,Modare,marrom,39
17,Tamanco Casual,DailySoft,BeiraRio,preto,38
18,Melissa Aranha,Iconic,Melissa,azul,36
19,Tenis Esportivo,PowerRun,Olympikus,azul,42
20,Tenis Casual,StreetStyle,Adidas,branco,41
21,Bota Coturno,UrbanForce,BullTerrier,preto,44
22,Tenis Infantil,Seninha Fun,Grendene,verde,30
23,Sapato Mocassim,ClassicWay,Divalesi,marrom,42
24,Sandalia Plataforma,SunHigh,Anacapri,bege,39
25,Tenis Caminhada,StepMove,Asics,verde,40
26,Chinelo Slide,RelaxPro,Nike,preto,41
27,Scarpin Salto Alto,FemmeLux,ViaUno,vermelho,37
28,Sapatenis Comfort,SoftUrban,WestCoast,azul,43
29,Papete Adventure,Explorer,Gonew,verde,44
30,Tamanco Madeira,VintageStep,Piccadilly,bege,38
